Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",11.225000,22.400000,90.000000,top
"C2","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.821000,11.795000,270.000000,top
"C3","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",16.275000,8.100000,180.000000,top
"C4","100nF","C_0805_2012Metric_Pad1.15x1.40mm_HandSolder",18.125000,15.800000,0.000000,top
"D1","Rx","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",13.472600,24.458000,270.000000,top
"D2","Tx","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.142900,24.483400,270.000000,top
"D3","Power","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",7.925000,24.450000,270.000000,top
"F1","MF-FSMF050X","R_0603_1608Metric_Pad1.05x0.95mm_HandSolder",9.425000,20.500000,90.000000,top
"J1","USB_C_Receptacle","USB_C_Receptacle_XKB_U262-16XN-4BVC11",3.875000,14.100000,270.000000,top
"R1","5K1","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.804000,20.441000,0.000000,top
"R2","5K1","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",3.817000,7.688000,0.000000,top
"R3","120r","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",20.466000,4.132000,270.000000,top
"R4","2K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",13.472600,20.533700,270.000000,top
"R5","2K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",17.142900,20.546400,270.000000,top
"R6","2K","R_0805_2012Metric_Pad1.15x1.40mm_HandSolder",5.575000,24.450000,90.000000,top
"U1","MAX485ESA","SOIC-8_3.9x4.9mm_P1.27mm",14.675000,4.350000,0.000000,top
"U2","CH340E","MSOP-10_3x3mm_P0.5mm",14.405180,13.351100,0.000000,top
